latitude,longitude,month,irradiance
41.75,44.0,11,2.16
41.75,44.0,12,1.62
41.75,44.0,13,3.91
41.75,44.25,01,1.88
41.75,44.25,02,2.66
41.75,44.25,03,3.39
41.75,44.25,04,4.6
41.75,44.25,05,5.35
41.75,44.25,06,6.2
41.75,44.25,07,6.07
41.75,44.25,08,5.68
41.75,44.25,09,4.2
41.75,44.25,10,3.03
41.75,44.25,11,2.16
41.75,44.25,12,1.62
41.75,44.25,13,3.91
41.75,44.5,01,1.88
41.75,44.5,02,2.66
41.75,44.5,03,3.39
41.75,44.5,04,4.6
41.75,44.5,05,5.35
41.75,44.5,06,6.2
41.75,44.5,07,6.07
41.75,44.5,08,5.68
41.75,44.5,09,4.2
41.75,44.5,10,3.03
41.75,44.5,11,2.16
41.75,44.5,12,1.62
41.75,44.5,13,3.91
41.75,44.75,01,1.88
41.75,44.75,02,2.66
41.75,44.75,03,3.39
41.75,44.75,04,4.6
41.75,44.75,05,5.35
41.75,44.75,06,6.2
41.75,44.75,07,6.07
41.75,44.75,08,5.68
41.75,44.75,09,4.2
41.75,44.75,10,3.03
41.75,44.75,11,2.16
41.75,44.75,12,1.62
41.75,44.75,13,3.91
41.75,45.0,01,1.92
41.75,45.0,02,2.61
41.75,45.0,03,3.49
41.75,45.0,04,4.84
41.75,45.0,05,5.7
41.75,45.0,06,6.55
41.75,45.0,07,6.35
41.75,45.0,08,5.88
41.75,45.0,09,4.34
41.75,45.0,10,3.05
41.75,45.0,11,2.15
41.75,45.0,12,1.65
41.75,45.0,13,4.05
41.75,45.25,01,1.92
41.75,45.25,02,2.61
41.75,45.25,03,3.49
41.75,45.25,04,4.84
41.75,45.25,05,5.7
41.75,45.25,06,6.55
41.75,45.25,07,6.35
41.75,45.25,08,5.88
41.75,45.25,09,4.34
41.75,45.25,10,3.05
41.75,45.25,11,2.15
41.75,45.25,12,1.65
41.75,45.25,13,4.05
41.75,45.5,01,1.92
41.75,45.5,02,2.61
41.75,45.5,03,3.49
41.75,45.5,04,4.84
41.75,45.5,05,5.7
41.75,45.5,06,6.55
41.75,45.5,07,6.35
41.75,45.5,08,5.88
41.75,45.5,09,4.34
41.75,45.5,10,3.05
41.75,45.5,11,2.15
41.75,45.5,12,1.65
41.75,45.5,13,4.05
41.75,45.75,01,1.92
41.75,45.75,02,2.61
41.75,45.75,03,3.49
41.75,45.75,04,4.84
41.75,45.75,05,5.7
41.75,45.75,06,6.55
41.75,45.75,07,6.35
41.75,45.75,08,5.88
41.75,45.75,09,4.34
41.75,45.75,10,3.05
41.75,45.75,11,2.15
41.75,45.75,12,1.65
41.75,45.75,13,4.05
41.75,46.0,01,1.82
41.75,46.0,02,2.47
41.75,46.0,03,3.36
41.75,46.0,04,4.65
41.75,46.0,05,5.57
41.75,46.0,06,6.61
41.75,46.0,07,6.29
41.75,46.0,08,5.88
41.75,46.0,09,4.38
41.75,46.0,10,2.98
41.75,46.0,11,2.1
41.75,46.0,12,1.57
41.75,46.0,13,3.98
42.0,42.0,01,1.59
42.0,42.0,02,2.29
42.0,42.0,03,3.13
42.0,42.0,04,4.48
42.0,42.0,05,5.19
42.0,42.0,06,5.97
42.0,42.0,07,5.8
42.0,42.0,08,5.73
42.0,42.0,09,4.4
42.0,42.0,10,2.97
