latitude,longitude,month,irradiance
42.25,44.75,02,2.7
42.25,44.75,03,3.44
42.25,44.75,04,4.45
42.25,44.75,05,5.05
42.25,44.75,06,5.81
42.25,44.75,07,5.84
42.25,44.75,08,5.64
42.25,44.75,09,4.23
42.25,44.75,10,3.06
42.25,44.75,11,2.12
42.25,44.75,12,1.58
42.25,44.75,13,3.82
42.25,45.0,01,1.88
42.25,45.0,02,2.68
42.25,45.0,03,3.39
42.25,45.0,04,4.49
42.25,45.0,05,4.98
42.25,45.0,06,5.84
42.25,45.0,07,5.82
42.25,45.0,08,5.59
42.25,45.0,09,4.19
42.25,45.0,10,3.03
42.25,45.0,11,2.14
42.25,45.0,12,1.65
42.25,45.0,13,3.81
42.25,45.25,01,1.88
42.25,45.25,02,2.68
42.25,45.25,03,3.39
42.25,45.25,04,4.49
42.25,45.25,05,4.98
42.25,45.25,06,5.84
42.25,45.25,07,5.82
42.25,45.25,08,5.59
42.25,45.25,09,4.19
42.25,45.25,10,3.03
42.25,45.25,11,2.14
42.25,45.25,12,1.65
42.25,45.25,13,3.81
42.25,45.5,01,1.88
42.25,45.5,02,2.68
42.25,45.5,03,3.39
42.25,45.5,04,4.49
42.25,45.5,05,4.98
42.25,45.5,06,5.84
42.25,45.5,07,5.82
42.25,45.5,08,5.59
42.25,45.5,09,4.19
42.25,45.5,10,3.03
42.25,45.5,11,2.14
42.25,45.5,12,1.65
42.25,45.5,13,3.81
42.5,41.75,01,1.59
42.5,41.75,02,2.35
42.5,41.75,03,3.38
42.5,41.75,04,4.77
42.5,41.75,05,5.59
42.5,41.75,06,6.38
42.5,41.75,07,6.12
42.5,41.75,08,5.86
42.5,41.75,09,4.48
42.5,41.75,10,3.03
42.5,41.75,11,1.99
42.5,41.75,12,1.4
42.5,41.75,13,3.92
42.5,42.0,01,1.59
42.5,42.0,02,2.29
42.5,42.0,03,3.13
42.5,42.0,04,4.48
42.5,42.0,05,5.19
42.5,42.0,06,5.97
42.5,42.0,07,5.8
42.5,42.0,08,5.73
42.5,42.0,09,4.4
42.5,42.0,10,2.97
42.5,42.0,11,1.99
42.5,42.0,12,1.43
42.5,42.0,13,3.75
42.5,42.25,01,1.59
42.5,42.25,02,2.29
42.5,42.25,03,3.13
42.5,42.25,04,4.48
42.5,42.25,05,5.19
42.5,42.25,06,5.97
42.5,42.25,07,5.8
42.5,42.25,08,5.73
42.5,42.25,09,4.4
42.5,42.25,10,2.97
42.5,42.25,11,1.99
42.5,42.25,12,1.43
42.5,42.25,13,3.75
42.5,42.5,01,1.59
42.5,42.5,02,2.29
42.5,42.5,03,3.13
42.5,42.5,04,4.48
42.5,42.5,05,5.19
42.5,42.5,06,5.97
42.5,42.5,07,5.8
42.5,42.5,08,5.73
42.5,42.5,09,4.4
42.5,42.5,10,2.97
42.5,42.5,11,1.99
42.5,42.5,12,1.43
42.5,42.5,13,3.75
42.5,42.75,01,1.59
42.5,42.75,02,2.29
42.5,42.75,03,3.13
42.5,42.75,04,4.48
42.5,42.75,05,5.19
42.5,42.75,06,5.97
42.5,42.75,07,5.8
42.5,42.75,08,5.73
42.5,42.75,09,4.4
42.5,42.75,10,2.97
42.5,42.75,11,1.99
42.5,42.75,12,1.43
42.5,42.75,13,3.75
42.5,43.0,01,1.72
42.5,43.0,02,2.52
42.5,43.0,03,3.31
42.5,43.0,04,4.43
42.5,43.0,05,5.11
42.5,43.0,06,5.87
42.5,43.0,07,5.9
42.5,43.0,08,5.79
42.5,43.0,09,4.37
42.5,43.0,10,2.99
42.5,43.0,11,2.03
42.5,43.0,12,1.52
42.5,43.0,13,3.8
42.5,43.25,01,1.72
42.5,43.25,02,2.52
42.5,43.25,03,3.31
42.5,43.25,04,4.43
42.5,43.25,05,5.11
42.5,43.25,06,5.87
42.5,43.25,07,5.9
42.5,43.25,08,5.79
42.5,43.25,09,4.37
42.5,43.25,10,2.99
42.5,43.25,11,2.03
42.5,43.25,12,1.52
42.5,43.25,13,3.8
42.5,43.5,01,1.72
42.5,43.5,02,2.52
42.5,43.5,03,3.31
42.5,43.5,04,4.43
42.5,43.5,05,5.11
42.5,43.5,06,5.87
42.5,43.5,07,5.9
42.5,43.5,08,5.79
42.5,43.5,09,4.37
42.5,43.5,10,2.99
42.5,43.5,11,2.03
42.5,43.5,12,1.52
42.5,43.5,13,3.8
42.5,43.75,01,1.72
42.5,43.75,02,2.52
42.5,43.75,03,3.31
42.5,43.75,04,4.43
42.5,43.75,05,5.11
42.5,43.75,06,5.87
42.5,43.75,07,5.9
42.5,43.75,08,5.79
42.5,43.75,09,4.37
42.5,43.75,10,2.99
42.5,43.75,11,2.03
42.5,43.75,12,1.52
42.5,43.75,13,3.8
42.5,44.0,01,1.84
42.5,44.0,02,2.7
42.5,44.0,03,3.44
42.5,44.0,04,4.45
42.5,44.0,05,5.05
42.5,44.0,06,5.81
42.5,44.0,07,5.84
42.5,44.0,08,5.64
42.5,44.0,09,4.23
42.5,44.0,10,3.06
42.5,44.0,11,2.12
42.5,44.0,12,1.58
42.5,44.0,13,3.82
42.5,44.25,01,1.84
42.5,44.25,02,2.7
42.5,44.25,03,3.44
42.5,44.25,04,4.45
42.5,44.25,05,5.05
42.5,44.25,06,5.81
42.5,44.25,07,5.84
42.5,44.25,08,5.64
42.5,44.25,09,4.23
42.5,44.25,10,3.06
42.5,44.25,11,2.12
42.5,44.25,12,1.58
42.5,44.25,13,3.82
42.5,44.5,01,1.84
42.5,44.5,02,2.7
42.5,44.5,03,3.44
42.5,44.5,04,4.45
42.5,44.5,05,5.05
42.5,44.5,06,5.81
42.5,44.5,07,5.84
42.5,44.5,08,5.64
42.5,44.5,09,4.23
42.5,44.5,10,3.06
42.5,44.5,11,2.12
42.5,44.5,12,1.58
42.5,44.5,13,3.82
42.5,44.75,01,1.84
42.5,44.75,02,2.7
42.5,44.75,03,3.44
42.5,44.75,04,4.45
42.5,44.75,05,5.05
42.5,44.75,06,5.81
42.5,44.75,07,5.84
42.5,44.75,08,5.64
42.5,44.75,09,4.23
42.5,44.75,10,3.06
42.5,44.75,11,2.12
42.5,44.75,12,1.58
42.5,44.75,13,3.82
42.5,45.0,01,1.88
42.5,45.0,02,2.68
42.5,45.0,03,3.39
42.5,45.0,04,4.49
42.5,45.0,05,4.98
42.5,45.0,06,5.84
42.5,45.0,07,5.82
42.5,45.0,08,5.59
42.5,45.0,09,4.19
42.5,45.0,10,3.03
42.5,45.0,11,2.14
42.5,45.0,12,1.65
42.5,45.0,13,3.81
42.5,45.25,01,1.88
42.5,45.25,02,2.68
42.5,45.25,03,3.39
42.5,45.25,04,4.49
42.5,45.25,05,4.98
42.5,45.25,06,5.84
42.5,45.25,07,5.82
42.5,45.25,08,5.59
42.5,45.25,09,4.19
42.5,45.25,10,3.03
42.5,45.25,11,2.14
42.5,45.25,12,1.65
42.5,45.25,13,3.81
42.5,45.5,01,1.88
42.5,45.5,02,2.68
42.5,45.5,03,3.39
42.5,45.5,04,4.49
42.5,45.5,05,4.98
42.5,45.5,06,5.84
42.5,45.5,07,5.82
42.5,45.5,08,5.59
42.5,45.5,09,4.19
42.5,45.5,10,3.03
42.5,45.5,11,2.14
42.5,45.5,12,1.65
42.5,45.5,13,3.81
42.75,41.5,01,1.59
42.75,41.5,02,2.35
42.75,41.5,03,3.38
42.75,41.5,04,4.77
42.75,41.5,05,5.59
42.75,41.5,06,6.38
42.75,41.5,07,6.12
42.75,41.5,08,5.86
42.75,41.5,09,4.48
42.75,41.5,10,3.03
42.75,41.5,11,1.99
42.75,41.5,12,1.4
42.75,41.5,13,3.92
42.75,41.75,01,1.59
42.75,41.75,02,2.35
42.75,41.75,03,3.38
42.75,41.75,04,4.77
42.75,41.75,05,5.59
42.75,41.75,06,6.38
42.75,41.75,07,6.12
42.75,41.75,08,5.86
42.75,41.75,09,4.48
42.75,41.75,10,3.03
42.75,41.75,11,1.99
42.75,41.75,12,1.4
42.75,41.75,13,3.92
42.75,42.0,01,1.59
42.75,42.0,02,2.29
42.75,42.0,03,3.13
42.75,42.0,04,4.48
42.75,42.0,05,5.19
42.75,42.0,06,5.97
42.75,42.0,07,5.8
42.75,42.0,08,5.73
42.75,42.0,09,4.4
42.75,42.0,10,2.97
42.75,42.0,11,1.99
42.75,42.0,12,1.43
42.75,42.0,13,3.75
42.75,42.25,01,1.59
42.75,42.25,02,2.29
42.75,42.25,03,3.13
42.75,42.25,04,4.48
42.75,42.25,05,5.19
42.75,42.25,06,5.97
42.75,42.25,07,5.8
42.75,42.25,08,5.73
42.75,42.25,09,4.4
42.75,42.25,10,2.97
42.75,42.25,11,1.99
42.75,42.25,12,1.43
42.75,42.25,13,3.75
42.75,42.5,01,1.59
42.75,42.5,02,2.29
42.75,42.5,03,3.13
42.75,42.5,04,4.48
42.75,42.5,05,5.19
42.75,42.5,06,5.97
42.75,42.5,07,5.8
42.75,42.5,08,5.73
42.75,42.5,09,4.4
42.75,42.5,10,2.97
42.75,42.5,11,1.99
42.75,42.5,12,1.43
42.75,42.5,13,3.75
42.75,42.75,01,1.59
42.75,42.75,02,2.29
42.75,42.75,03,3.13
42.75,42.75,04,4.48
42.75,42.75,05,5.19
42.75,42.75,06,5.97
42.75,42.75,07,5.8
42.75,42.75,08,5.73
42.75,42.75,09,4.4
42.75,42.75,10,2.97
42.75,42.75,11,1.99
42.75,42.75,12,1.43
42.75,42.75,13,3.75
42.75,43.0,01,1.72
42.75,43.0,02,2.52
42.75,43.0,03,3.31
42.75,43.0,04,4.43
42.75,43.0,05,5.11
42.75,43.0,06,5.87
42.75,43.0,07,5.9
42.75,43.0,08,5.79
42.75,43.0,09,4.37
42.75,43.0,10,2.99
42.75,43.0,11,2.03
42.75,43.0,12,1.52
42.75,43.0,13,3.8
42.75,43.25,01,1.72
42.75,43.25,02,2.52
42.75,43.25,03,3.31
42.75,43.25,04,4.43
42.75,43.25,05,5.11
42.75,43.25,06,5.87
42.75,43.25,07,5.9
42.75,43.25,08,5.79
42.75,43.25,09,4.37
42.75,43.25,10,2.99
42.75,43.25,11,2.03
42.75,43.25,12,1.52
42.75,43.25,13,3.8
42.75,43.5,01,1.72
42.75,43.5,02,2.52
42.75,43.5,03,3.31
42.75,43.5,04,4.43
42.75,43.5,05,5.11
42.75,43.5,06,5.87
42.75,43.5,07,5.9
42.75,43.5,08,5.79
42.75,43.5,09,4.37
42.75,43.5,10,2.99
42.75,43.5,11,2.03
42.75,43.5,12,1.52
42.75,43.5,13,3.8
42.75,43.75,01,1.72
42.75,43.75,02,2.52
42.75,43.75,03,3.31
42.75,43.75,04,4.43
42.75,43.75,05,5.11
42.75,43.75,06,5.87
42.75,43.75,07,5.9
42.75,43.75,08,5.79
42.75,43.75,09,4.37
42.75,43.75,10,2.99
42.75,43.75,11,2.03
42.75,43.75,12,1.52
42.75,43.75,13,3.8
43.0,41.0,01,1.62
43.0,41.0,02,2.48
43.0,41.0,03,3.33
43.0,41.0,04,4.7
43.0,41.0,05,5.1
43.0,41.0,06,5.85
43.0,41.0,07,5.98
43.0,41.0,08,5.67
43.0,41.0,09,4.39
43.0,41.0,10,3.06
43.0,41.0,11,1.97
43.0,41.0,12,1.46
43.0,41.0,13,3.81
43.0,41.25,01,1.62
43.0,41.25,02,2.48
43.0,41.25,03,3.33
43.0,41.25,04,4.7
43.0,41.25,05,5.1
43.0,41.25,06,5.85
43.0,41.25,07,5.98
43.0,41.25,08,5.67
43.0,41.25,09,4.39
43.0,41.25,10,3.06
43.0,41.25,11,1.97
43.0,41.25,12,1.46
43.0,41.25,13,3.81
43.0,41.5,01,1.62
43.0,41.5,02,2.48
43.0,41.5,03,3.33
43.0,41.5,04,4.7
43.0,41.5,05,5.1
43.0,41.5,06,5.85
43.0,41.5,07,5.98
43.0,41.5,08,5.67
43.0,41.5,09,4.39
43.0,41.5,10,3.06
43.0,41.5,11,1.97
43.0,41.5,12,1.46
43.0,41.5,13,3.81
43.0,41.75,01,1.62
43.0,41.75,02,2.48
43.0,41.75,03,3.33
43.0,41.75,04,4.7
43.0,41.75,05,5.1
43.0,41.75,06,5.85
43.0,41.75,07,5.98
43.0,41.75,08,5.67
43.0,41.75,09,4.39
43.0,41.75,10,3.06
43.0,41.75,11,1.97
43.0,41.75,12,1.46
43.0,41.75,13,3.81
43.0,42.0,01,1.72
43.0,42.0,02,2.68
43.0,42.0,03,3.5
43.0,42.0,04,4.51
43.0,42.0,05,4.89
43.0,42.0,06,5.64
43.0,42.0,07,5.92
43.0,42.0,08,5.6
43.0,42.0,09,4.32
43.0,42.0,10,3.0
43.0,42.0,11,2.04
43.0,42.0,12,1.57
43.0,42.0,13,3.79
43.0,42.25,01,1.72
43.0,42.25,02,2.68
43.0,42.25,03,3.5
43.0,42.25,04,4.51
43.0,42.25,05,4.89
43.0,42.25,06,5.64
43.0,42.25,07,5.92
43.0,42.25,08,5.6
43.0,42.25,09,4.32
43.0,42.25,10,3.0
43.0,42.25,11,2.04
43.0,42.25,12,1.57
43.0,42.25,13,3.79
43.0,42.5,01,1.72
43.0,42.5,02,2.68
43.0,42.5,03,3.5
43.0,42.5,04,4.51
43.0,42.5,05,4.89
43.0,42.5,06,5.64
43.0,42.5,07,5.92
43.0,42.5,08,5.6
43.0,42.5,09,4.32
43.0,42.5,10,3.0
43.0,42.5,11,2.04
43.0,42.5,12,1.57
43.0,42.5,13,3.79
43.0,42.75,01,1.72
43.0,42.75,02,2.68
43.0,42.75,03,3.5
43.0,42.75,04,4.51
43.0,42.75,05,4.89
43.0,42.75,06,5.64
43.0,42.75,07,5.92
43.0,42.75,08,5.6
43.0,42.75,09,4.32
43.0,42.75,10,3.0
43.0,42.75,11,2.04
43.0,42.75,12,1.57
43.0,42.75,13,3.79
43.0,43.0,01,1.67
43.0,43.0,02,2.45
43.0,43.0,03,3.0
43.0,43.0,04,4.48
43.0,43.0,05,4.98
43.0,43.0,06,5.68
43.0,43.0,07,5.81
43.0,43.0,08,5.39
43.0,43.0,09,4.02
43.0,43.0,10,2.82
43.0,43.0,11,1.83
43.0,43.0,12,1.42
43.0,43.0,13,3.63
43.25,40.5,01,1.44
43.25,40.5,02,2.21
43.25,40.5,03,3.3
43.25,40.5,04,4.54
43.25,40.5,05,5.31
43.25,40.5,06,6.1
43.25,40.5,07,6.09
43.25,40.5,08,5.72
43.25,40.5,09,4.35
43.25,40.5,10,3.01
43.25,40.5,11,1.92
43.25,40.5,12,1.32
43.25,40.5,13,3.78
43.25,40.75,01,1.44
43.25,40.75,02,2.21
43.25,40.75,03,3.3
43.25,40.75,04,4.54
43.25,40.75,05,5.31
43.25,40.75,06,6.1
43.25,40.75,07,6.09
43.25,40.75,08,5.72
43.25,40.75,09,4.35
43.25,40.75,10,3.01
43.25,40.75,11,1.92
43.25,40.75,12,1.32
43.25,40.75,13,3.78
43.25,41.0,01,1.62
43.25,41.0,02,2.48
43.25,41.0,03,3.33
43.25,41.0,04,4.7
43.25,41.0,05,5.1
43.25,41.0,06,5.85
43.25,41.0,07,5.98
43.25,41.0,08,5.67
43.25,41.0,09,4.39
43.25,41.0,10,3.06
43.25,41.0,11,1.97
43.25,41.0,12,1.46
43.25,41.0,13,3.81
43.25,41.25,01,1.62
43.25,41.25,02,2.48
43.25,41.25,03,3.33
43.25,41.25,04,4.7
43.25,41.25,05,5.1
43.25,41.25,06,5.85
43.25,41.25,07,5.98
43.25,41.25,08,5.67
43.25,41.25,09,4.39
43.25,41.25,10,3.06
43.25,41.25,11,1.97
43.25,41.25,12,1.46
43.25,41.25,13,3.81
43.25,41.5,01,1.62
43.25,41.5,02,2.48
43.25,41.5,03,3.33
43.25,41.5,04,4.7
43.25,41.5,05,5.1
43.25,41.5,06,5.85
43.25,41.5,07,5.98
43.25,41.5,08,5.67
43.25,41.5,09,4.39
43.25,41.5,10,3.06
43.25,41.5,11,1.97
43.25,41.5,12,1.46
43.25,41.5,13,3.81
43.5,40.25,01,1.44
43.5,40.25,02,2.21
43.5,40.25,03,3.3
43.5,40.25,04,4.54
43.5,40.25,05,5.31
43.5,40.25,06,6.1
43.5,40.25,07,6.09
43.5,40.25,08,5.72
43.5,40.25,09,4.35
43.5,40.25,10,3.01
43.5,40.25,11,1.92
43.5,40.25,12,1.32
43.5,40.25,13,3.78
43.5,40.5,01,1.44
43.5,40.5,02,2.21
43.5,40.5,03,3.3
43.5,40.5,04,4.54
43.5,40.5,05,5.31
43.5,40.5,06,6.1
43.5,40.5,07,6.09
43.5,40.5,08,5.72
43.5,40.5,09,4.35
43.5,40.5,10,3.01
43.5,40.5,11,1.92
43.5,40.5,12,1.32
43.5,40.5,13,3.78
