latitude,longitude,month,ghi_monthly,dni_monthly,dif_monthly
41.25,46.0,3.0,3.474814218492364,3.34818097215202,1.4782311952293818
41.25,46.0,4.0,4.808894677377826,4.633643309674671,2.045766386254948
41.25,46.0,5.0,5.760331903869782,5.550407147287723,2.4505201659010885
41.25,46.0,6.0,6.835869638165038,6.586748876763349,2.908067916805421
41.25,46.0,7.0,6.5049349506895755,6.267874498463157,2.7672839934502416
41.25,46.0,8.0,6.0809248823616375,5.859316701266034,2.586904591651418
41.25,46.0,9.0,4.529668534820403,4.364593052983883,1.9269799509240155
41.25,46.0,10.0,3.0818292771152516,2.9695176479205414,1.3110502862451066
41.25,46.0,11.0,2.1717588865577278,2.0926131075950125,0.9238944970183637
41.25,46.0,12.0,1.6236483104264918,1.564477418535319,0.6907211239613481
41.25,46.25,1.0,1.8762463061653791,1.8035376910588252,0.7997939484802323
41.25,46.25,2.0,2.5463342726530147,2.447658295008406,1.0854346443660297
41.25,46.25,3.0,3.463839334459161,3.329608045031677,1.476542674117352
41.25,46.25,4.0,4.793706221796161,4.607939705177768,2.0434295936445497
41.25,46.25,5.0,5.742138420517121,5.51961809846025,2.4477210401290623
41.25,46.25,6.0,6.814279166897338,6.550211064779579,2.904746153546338
41.25,46.25,7.0,6.484389706472657,6.233105536681324,2.764123041725638
41.25,46.25,8.0,6.061718835303532,5.826814078805435,2.583949679705366
41.25,46.25,9.0,4.515361989562835,4.340381915844865,1.9247788430458337
41.25,46.25,10.0,3.072095600204851,2.9530452304149994,1.3095527288302704
41.25,46.25,11.0,2.164899584036976,2.0810050281447983,0.922839171323345
41.25,46.25,12.0,1.6185201652085963,1.5557989972320636,0.6899321423703103
41.25,46.5,1.0,1.8552111285415727,1.7710703090207662,0.7979648263011148
41.25,46.5,2.0,2.5177865315921344,2.4035954193853257,1.0829522642657985
41.25,46.5,3.0,3.425005160384442,3.269668262807568,1.4731658331712885
41.25,46.5,4.0,4.739962498746326,4.524987327992617,2.038756286978123
41.25,46.5,5.0,5.677761530756351,5.42025363804707,2.4421231222512136
41.25,46.5,6.0,6.7378821756372504,6.4322938146303645,2.898103022994708
41.25,46.5,7.0,6.4116912079815895,6.120896837220121,2.757801515073633
41.25,46.5,8.0,5.993759030672773,5.721919459913244,2.578040208049755
41.25,46.5,9.0,4.464738869786862,4.262246128302722,1.9203768896697155
41.25,46.5,10.0,3.037653386293344,2.899884352132903,1.306557792515012
41.25,46.5,11.0,2.140628225240276,2.0435426642547303,0.9207286457320555
41.25,46.5,12.0,1.6003744350605875,1.5277914204190126,0.6883542732377748
41.5,41.75,1.0,1.388474407864388,1.0131752266074125,0.7161186004906009
41.5,41.75,2.0,1.989582230781288,1.4518059649557438,1.0261455555810441
41.5,41.75,3.0,2.776948815728776,2.026350453214825,1.4322372009812019
41.5,41.75,4.0,3.9537655394674958,2.88507823674184,2.039191380665309
41.5,41.75,5.0,4.605671206574556,3.3607763614294663,2.37541779674931
41.5,41.75,6.0,4.969722423270706,3.626425963527751,2.56318060053648
41.5,41.75,7.0,4.614137513939582,3.366954259152682,2.37978437358157
41.5,41.75,8.0,4.368614600353807,3.1877952251794204,2.2531536454460372
41.5,41.75,9.0,3.538916478581184,2.5823612483042586,1.8252291158845801
41.5,41.75,10.0,2.4890943653178668,1.8163019306254837,1.28377358868437
41.5,41.75,11.0,1.735593009830485,1.2664690332592659,0.8951482506132511
41.5,41.75,12.0,1.2276145679288797,0.8957951698663099,0.6331536406776654
41.5,42.0,1.0,1.584314164378102,1.2244637856756957,0.8101496301089737
